交易日期,时间戳,选股器名称,选股器类型,股票代码,股票名称,所属行业,市场,总市值,连续天数
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601061.SH,中信金属,商贸代理,主板,4032700,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600962.SH,国投中鲁,软饮料,主板,524944.42,2
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603869.SH,ST智知,软件服务,主板,399740.3197,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600597.SH,光明乳业,乳制品,主板,1178595.067,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,605388.SH,均瑶健康,乳制品,主板,456968.324,1
2025/9/19,20250919_164140,SuperB1战法,SuperB1Selector,002946.SZ,新乳业,乳制品,主板,1492413.682,1
2025/9/19,20250919_164140,TePu战法,BreakoutVolumeKDJSelector,600887.SH,伊利股份,乳制品,主板,17268234.62,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002637.SZ,赞宇科技,日用化工,主板,504269.872,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600249.SH,两面针,日用化工,主板,323400,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603062.SH,麦加芯彩,染料涂料,主板,540216,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603737.SH,三棵树,染料涂料,主板,2917330.288,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000609.SZ,ST中迪,区域地产,主板,97560.5602,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000926.SZ,福星股份,区域地产,主板,447623.1015,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600603.SH,ST广物,区域地产,主板,1021489.753,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000060.SZ,中金岭南,铅锌,主板,1838900.066,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000688.SZ,国城矿业,铅锌,主板,1587935.197,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600497.SH,驰宏锌锗,铅锌,主板,2867976.495,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600961.SH,株冶集团,铅锌,主板,1296030.225,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601020.SH,华钰矿业,铅锌,主板,1721105.901,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603132.SH,金徽股份,铅锌,主板,1318344,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600066.SH,宇通客车,汽车整车,主板,5862511.063,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601633.SH,长城汽车,汽车整车,主板,19129244.9,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600469.SH,风神股份,汽车配件,主板,448612.2857,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600741.SH,华域汽车,汽车配件,主板,5665444.999,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603071.SH,物产环能,批发业,主板,757144.1778,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000930.SZ,中粮科技,农业综合,主板,1099096.112,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002299.SZ,圣农发展,农业综合,主板,2110050.301,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600251.SH,冠农股份,农业综合,主板,637911.7316,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002539.SZ,云图控股,农药化肥,主板,1294679.873,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600426.SH,华鲁恒升,农药化肥,主板,5057510.035,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600486.SH,扬农化工,农药化肥,主板,2622525.381,1
2025/9/19,20250919_164140,SuperB1战法,SuperB1Selector,002749.SZ,国光股份,农药化肥,主板,709797.7131,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600397.SH,安源煤业,煤炭开采,主板,607835.3675,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603115.SH,海星股份,铝,主板,374587.2,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603876.SH,鼎胜新材,铝,主板,875099.9682,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000524.SZ,岭南控股,旅游服务,主板,838430.9548,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600516.SH,方大炭素,矿物制品,主板,1936491.747,1
